Date,Price,Product_name,Product_code,Amount
01/02/2012,1394.46,San pham A,SPA,894.46
02/02/2012,1366.42,San pham A,SPA,894.46
03/02/2012,1498.58,San pham A,SPA,894.46
04/02/2012,1452.43,San pham A,SPA,894.46
05/02/2012,1420.6,San pham A,SPA,894.46
06/02/2012,1454.6,San pham A,SPA,894.46
07/02/2012,1430.83,San pham A,SPA,894.46
08/02/2012,1517.68,San pham A,SPA,894.46
09/02/2012,1436.51,San pham A,SPA,894.46
10/02/2012,1429.4,San pham A,SPA,894.46
11/02/2012,1314.95,San pham A,SPA,894.46
12/02/2012,1320.28,San pham A,SPA,894.46
13/02/2012,1366.01,San pham A,SPA,894.46
14/02/2012,1239.94,San pham B,SPB,894.46
15/02/2012,1160.33,San pham B,SPB,894.46
16/02/2012,1249.46,San pham B,SPB,894.46
17/02/2012,1255.82,San pham B,SPB,894.46
18/02/2012,1224.38,San pham B,SPB,894.46
19/02/2012,1211.23,San pham B,SPB,894.46
20/02/2012,1133.58,San pham B,SPB,894.46
21/02/2012,1040.94,San pham B,SPB,894.46
22/02/2012,1059.78,San pham B,SPB,894.46
23/02/2012,1139.45,San pham B,SPB,894.46
24/02/2012,1148.08,San pham B,SPB,894.46
25/02/2012,1130.2,San pham B,SPB,894.46
26/02/2012,1106.73,San pham B,SPB,894.46
27/02/2012,1147.39,San pham B,SPB,894.46
28/02/2012,1076.92,San pham B,SPB,894.46
29/02/2012,1067.14,San pham B,SPB,894.46
01/03/2012,989.82,San pham B,SPB,894.46
02/03/2012,911.62,San pham B,SPB,894.46
03/03/2012,916.07,San pham B,SPB,894.46
04/03/2012,815.28,San pham B,SPB,894.46
05/03/2012,885.76,San pham B,SPB,894.46
06/03/2012,936.31,San pham B,SPB,894.46
07/03/2012,879.82,San pham B,SPB,894.46
08/03/2012,855.7,San pham B,SPB,894.46
09/03/2012,841.15,San pham B,SPB,894.46
10/03/2012,848.18,San pham B,SPB,894.46
11/03/2012,916.92,San pham B,SPB,894.46
12/03/2012,963.59,San pham B,SPB,894.46
13/03/2012,974.5,San pham B,SPB,894.46
14/03/2012,990.31,San pham B,SPB,894.46
15/03/2012,1008.01,San pham B,SPB,894.46
16/03/2012,995.97,San pham B,SPB,894.46
17/03/2012,1050.71,San pham B,SPB,894.46
18/03/2012,1058.2,San pham B,SPB,894.46
19/03/2012,1111.92,San pham B,SPB,894.46
20/03/2012,1131.13,San pham B,SPB,894.46
21/03/2012,1144.94,San pham B,SPB,894.46
22/03/2012,1126.21,San pham B,SPB,894.46
23/03/2012,1107.3,San pham B,SPB,894.46
24/03/2012,1120.68,San pham B,SPB,894.46
25/03/2012,1140.84,San pham B,SPB,894.46
26/03/2012,1101.72,San pham B,SPB,894.46
27/03/2012,1104.24,San pham B,SPB,894.46
28/03/2012,1114.58,San pham B,SPB,894.46
29/03/2012,1130.2,San pham B,SPB,894.46
30/03/2012,1173.82,San pham B,SPB,894.46
31/03/2012,1211.92,San pham B,SPB,894.46
01/04/2012,1181.27,San pham B,SPB,894.46
02/04/2012,1203.6,San pham B,SPB,894.46
03/04/2012,1180.59,San pham B,SPB,894.46
04/04/2012,1156.85,San pham B,SPB,894.46
05/04/2012,1191.5,San pham B,SPB,894.46
06/04/2012,1191.33,San pham B,SPB,894.46
07/04/2012,1234.18,San pham B,SPB,894.46
08/04/2012,1220.33,San pham B,SPB,894.46
09/04/2012,1228.81,San pham B,SPB,894.46
10/04/2012,1207.01,San pham B,SPB,894.46
11/04/2012,1249.48,San pham B,SPB,894.46
12/04/2012,1248.29,San pham B,SPB,894.46
13/04/2012,1280.08,San pham B,SPB,894.46
14/04/2012,1280.66,San pham B,SPB,894.46
15/04/2012,1294.87,San pham B,SPB,894.46
16/04/2012,1310.61,San pham B,SPB,894.46
17/04/2012,1270.09,San pham B,SPB,894.46
18/04/2012,1270.2,San pham B,SPB,894.46
19/04/2012,1276.66,San pham B,SPB,894.46
20/04/2012,1303.82,San pham B,SPB,894.46
21/04/2012,1335.85,San pham B,SPB,894.46
22/04/2012,1377.94,San pham B,SPB,894.46
23/04/2012,1400.63,San pham B,SPB,894.46
24/04/2012,1418.3,San pham B,SPB,894.46
25/04/2012,1438.24,San pham B,SPB,894.46
26/04/2012,1406.82,San pham B,SPB,894.46
27/04/2012,1420.86,San pham B,SPB,894.46
28/04/2012,1482.37,San pham B,SPB,894.46
29/04/2012,1530.62,San pham B,SPB,894.46
30/04/2012,1503.35,San pham B,SPB,894.46
01/05/2012,1455.27,San pham B,SPB,894.46
02/05/2012,1473.99,San pham B,SPB,894.46
03/05/2012,1526.75,San pham B,SPB,894.46
04/05/2012,1549.38,San pham B,SPB,894.46
05/05/2012,1481.14,San pham B,SPB,894.46
06/05/2012,1468.36,San pham B,SPB,894.46
07/05/2012,1378.55,San pham B,SPB,894.46
08/05/2012,1330.63,San pham B,SPB,894.46
09/05/2012,1322.7,San pham B,SPB,894.46
10/05/2012,1385.59,San pham B,SPB,894.46
11/05/2012,1400.38,San pham B,SPB,894.46
12/05/2012,1280,San pham B,SPB,894.46
13/05/2012,1267.38,San pham B,SPB,894.46
14/05/2012,1282.83,San pham B,SPB,894.46
15/05/2012,1166.36,San pham B,SPB,894.46
16/05/2012,968.75,San pham B,SPB,894.46
17/05/2012,896.24,San pham B,SPB,894.46
18/05/2012,903.25,San pham B,SPB,894.46
19/05/2012,825.88,San pham C,SPC,894.46
20/05/2012,735.09,San pham C,SPC,894.46
21/05/2012,797.87,San pham C,SPC,894.46
22/05/2012,872.81,San pham C,SPC,894.46
23/05/2012,919.14,San pham C,SPC,894.46
24/05/2012,919.32,San pham C,SPC,894.46
25/05/2012,987.48,San pham C,SPC,894.46
26/05/2012,1020.62,San pham C,SPC,894.46
27/05/2012,1057.08,San pham C,SPC,894.46
28/05/2012,1036.19,San pham C,SPC,894.46
29/05/2012,1095.63,San pham C,SPC,894.46
30/05/2012,1115.1,San pham C,SPC,894.46
31/05/2012,1073.87,San pham C,SPC,894.46
01/06/2012,1104.49,San pham C,SPC,894.46
02/06/2012,1140.45,San pham C,SPC,894.46
03/06/2012,1140.46,San pham D,SPD,894.46
04/06/2012,1140.47,San pham D,SPD,894.46
05/06/2012,1140.48,San pham D,SPD,894.46
06/06/2012,1140.49,San pham D,SPD,894.46
07/06/2012,1140.50,San pham D,SPD,894.46
08/06/2012,1140.51,San pham D,SPD,894.46
09/06/2012,1140.52,San pham D,SPD,894.46
10/06/2012,1145.52,San pham D,SPD,894.46
11/06/2012,1150.52,San pham D,SPD,894.46
12/06/2012,1155.52,San pham D,SPD,894.46
13/06/2012,1160.52,San pham D,SPD,894.46
14/06/2012,1165.52,San pham D,SPD,894.46
15/06/2012,1170.52,San pham D,SPD,894.46
16/06/2012,1175.52,San pham D,SPD,894.46
17/06/2012,1180.52,San pham D,SPD,894.46
18/06/2012,1185.52,San pham D,SPD,894.46
19/06/2012,1190.52,San pham D,SPD,894.46
20/06/2012,1195.52,San pham D,SPD,894.46
21/06/2012,1200.52,San pham D,SPD,894.46
22/06/2012,1205.52,San pham D,SPD,894.46
23/06/2012,1210.52,San pham D,SPD,894.46
24/06/2012,1215.52,San pham D,SPD,894.46
25/06/2012,1220.52,San pham D,SPD,894.46
26/06/2012,1225.52,San pham D,SPD,894.46
27/06/2012,1230.52,San pham D,SPD,894.46
28/06/2012,1235.52,San pham D,SPD,894.46
29/06/2012,1240.52,San pham D,SPD,894.46
